Position,Name-Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Juwan Durham / Notre Dame,27,6,15.3,2.3,3.9,0.575,2.3,3.9,0.575,0,0,0,1.2,1.7,0.696,1.4,2.5,3.9,0.4,0.4,2.3,0.7,2.1,5.7
0,Rex Pflueger / Notre Dame,10,10,30.5,2.3,5.9,0.39,0.9,2.3,0.391,1.4,3.6,0.389,2.1,2.6,0.808,0.9,3.8,4.7,4.3,1.7,0.6,1.6,1.4,8.1
0,Nikola Djogo / Notre Dame,21,6,12.5,1,2.3,0.438,0.6,0.9,0.632,0.4,1.4,0.31,0.2,0.4,0.625,0.4,1.8,2.1,0.8,0.4,0.1,0.4,0.8,2.7
0,Robby Carmody / Notre Dame,9,2,10,1.2,3.8,0.324,1.1,2.6,0.435,0.1,1.2,0.091,1.1,1.4,0.769,1,0.7,1.7,0.2,0.4,0.1,1.2,1.2,3.7
1,Elijah Burns / Notre Dame,4,1,11,1.3,2.5,0.5,1,2.3,0.444,0.3,0.3,1,2.5,2.8,0.909,2,1.8,3.8,0.5,0,0.3,0,0.5,5.3
1,Chris Doherty / Notre Dame,11,0,3.8,0.4,0.5,0.667,0.4,0.5,0.667,0,0,0,0.1,0.4,0.25,0.4,0.5,0.9,0.1,0.1,0.1,0.2,0.8,0.8
0,Liam Nelligan / Notre Dame,11,1,1.3,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0
0,Xavier Johnson / Pittsburgh,33,33,31.2,4.8,11.6,0.415,3.7,8.4,0.439,1.1,3.2,0.352,4.8,6.3,0.751,1.2,2.7,3.9,4.5,1.3,0.1,4,2.7,15.5
0,Jared Wilson-Frame / Pittsburgh,32,17,31.3,4.3,10.6,0.409,1.3,2.9,0.446,3.1,7.8,0.395,0.9,1.2,0.769,1.2,3.8,5,1.4,0.5,0.3,1.2,2.3,12.7
0,Trey McGowens / Pittsburgh,33,32,27.8,3.4,8.2,0.417,2.5,5.2,0.468,1,3,0.327,3.8,5,0.764,0.6,2.6,3.2,1.7,1.9,0.1,2.4,2.8,11.6
0,Au'Diese Toney / Pittsburgh,32,28,25.2,2.5,6.9,0.36,2,4.8,0.412,0.5,2.2,0.246,2,3,0.663,1.9,3.7,5.6,0.5,0.7,0.1,1.1,1.9,7.5
1,Terrell Brown / Pittsburgh,33,16,19,2.1,4.7,0.436,2,4.3,0.455,0.1,0.4,0.231,1.5,2.2,0.658,1.7,2.9,4.5,0.2,0.2,1.8,1.1,2.1,5.7
0,Malik Ellison / Pittsburgh,31,16,21,2.2,5,0.445,2.1,4.5,0.475,0.1,0.5,0.188,1.3,2.4,0.541,1.2,2.6,3.8,1.2,0.6,0.3,1.6,2.2,5.8
0,Sidy Ndir / Pittsburgh,29,5,20.2,2.1,5.2,0.407,1.6,3,0.529,0.5,2.2,0.238,1.2,2,0.614,0.5,1.6,2.1,1.9,0.8,0.4,1.2,1.3,5.9
1,Kene Chukwuka / Pittsburgh,32,17,18.3,1.5,2.8,0.534,1.3,2,0.646,0.2,0.7,0.217,0.8,1.1,0.735,1.4,2.1,3.5,0.4,0.3,0.6,0.6,2.5,3.9
0,Kham Davis / Pittsburgh,26,0,13,0.7,1.9,0.38,0.3,0.5,0.583,0.5,1.5,0.316,0.6,0.9,0.696,0.2,2,2.2,0.3,0.7,0.2,0.5,0.8,2.5
0,Shamiel Stevenson / Pittsburgh,4,0,8,1.8,3,0.583,1.5,2.8,0.545,0.3,0.3,1,0,0.3,0,0,1.8,1.8,0.3,0.8,0.3,0.8,0.8,3.8
1,Samson George / Pittsburgh,6,0,3.7,0.5,1,0.5,0.5,1,0.5,0,0,0,0.2,0.7,0.25,0.8,0.5,1.3,0,0,0.2,0,1.2,1.2
1,Peace Ilegomah / Pittsburgh,7,0,4.6,0.3,0.3,1,0.3,0.3,1,0,0,0,0.3,0.7,0.4,0.1,0.9,1,0.1,0,0,0.4,1,0.9
0,Anthony Starzynski / Pittsburgh,7,0,2.1,0.3,0.7,0.4,0,0,0,0.3,0.7,0.4,0,0,0,0,0.3,0.3,0,0,0,0,0.1,0.9
0,Onyebuchi Ezeakudo / Pittsburgh,2,0,2.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,1.5,0.5,0,0,0,0
0,Joe Mascaro / Pittsburgh,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0.7,0,0
1,Anthony Lamb / Vermont,32,32,31.6,7.6,14.7,0.515,6,10.4,0.577,1.6,4.3,0.365,4.5,5.9,0.762,1.7,6.1,7.8,2.3,0.9,1.9,2.2,2,21.2
0,Ernie Duncan / Vermont,32,32,29.6,4.4,9.3,0.478,2,3.7,0.538,2.5,5.6,0.439,2.5,3,0.832,0.2,1.5,1.7,2,0.7,0.3,1.5,1.9,13.8
0,Stef Smith / Vermont,34,33,28,4.1,10.1,0.407,2.3,5.2,0.441,1.8,4.9,0.371,2.3,2.9,0.804,0.6,3.6,4.2,1.5,0.9,0.1,1.9,2.2,12.4
0,Everett Duncan / Vermont,33,10,23.9,1.9,4.4,0.425,0.8,1.5,0.542,1.1,3,0.367,1.4,1.5,0.882,0.5,3.1,3.6,0.8,0.6,0.2,0.5,1.8,6.2
1,Isaiah Moll / Vermont,33,2,17.5,2.2,5.6,0.395,1.8,3.6,0.504,0.4,2,0.197,0.6,1,0.559,0.7,2.3,2.9,1,0.4,0.1,1.4,1,5.4
0,Robin Duncan / Vermont,34,22,23.8,1.4,3.7,0.384,1.2,2.6,0.467,0.2,1,0.171,1.4,1.9,0.75,1.1,2.6,3.6,2.5,0.7,0.2,1.4,1.7,4.4
