Position,Name-Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Sullivan Kulju / Richmond,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Luwane Pipkins / Massachusetts,25,23,31.2,5,14.4,0.347,3.1,7.6,0.407,1.9,6.8,0.281,4.1,5.1,0.805,0.4,4.4,4.9,5.2,1.2,0.1,3,2.4,16
0,Carl Pierre / Massachusetts,32,32,30.6,4.1,10.3,0.402,1.6,3.5,0.442,2.6,6.7,0.381,1,1.5,0.702,0.6,1.7,2.2,1.4,0.4,0.1,0.9,2.3,11.8
1,Rashaan Holloway / Massachusetts,30,22,16.4,4.2,6.2,0.681,4.2,6.2,0.681,0,0,0,1.2,2.5,0.5,2.6,3.4,6,0.5,0.3,0.7,1.7,2.7,9.6
1,Jonathan Laurent / Massachusetts,30,13,22.7,3.2,5.9,0.537,2,3.4,0.588,1.2,2.5,0.467,2,2.3,0.857,1.3,3.7,5,1.5,0.4,0.3,1.8,2.2,9.5
0,Keon Clergeot / Massachusetts,32,17,22.3,2.3,5.7,0.414,1.4,3.1,0.44,1,2.5,0.383,1.8,2.3,0.787,0.3,1.6,1.9,1.8,0.5,0.1,1.2,2,7.5
0,Curtis Cobb / Massachusetts,23,12,25.4,3.2,8.2,0.392,1.8,4,0.462,1.4,4.3,0.327,0.6,1.1,0.52,0.4,3,3.4,2.4,1,0,1.5,1.5,8.4
1,Sy Chatman / Massachusetts,29,4,14.1,1.4,2.7,0.519,1.2,2.3,0.545,0.1,0.4,0.364,0.8,1.3,0.605,1,1.2,2.2,0.3,0.3,0.6,0.7,2.1,3.7
1,Samba Diallo / Massachusetts,25,13,16.9,1.4,3.1,0.436,1.2,2.4,0.492,0.2,0.7,0.235,0.6,1.4,0.471,1,2.3,3.4,0.5,0.4,0.1,1,2,3.5
0,Tre Wood / Massachusetts,22,4,16,1.2,3.8,0.321,1,3.3,0.319,0.2,0.5,0.333,0.6,1.2,0.5,0.3,0.6,0.9,2.4,0.6,0,1.9,1.5,3.2
0,Unique McLean / Massachusetts,23,8,17.3,1.2,2.2,0.529,1.2,2.1,0.551,0,0.1,0,0.7,0.8,0.842,1,2.3,3.3,1.3,0.3,0.1,0.9,1.3,3
1,Djery Baptiste / Massachusetts,20,12,17.9,1.2,2.4,0.511,1.2,2.4,0.511,0,0,0,0.5,1.1,0.455,1.8,2.3,4.1,0.3,0.3,1.2,1.1,2.6,2.9
0,Kieran Hayward / Massachusetts,24,0,7,0.8,2.3,0.327,0.1,0.2,0.4,0.7,2.1,0.32,0,0,0,0.1,0.4,0.5,0.3,0.1,0.1,0.5,1,2.2
1,Khalea Turner-Morris / Massachusetts,12,0,6.3,0.9,1.4,0.647,0.9,1.4,0.647,0,0,0,0.2,0.6,0.286,0.8,1.3,2.1,0.2,0.1,0.5,0.4,1.1,2
1,Randall West / Massachusetts,7,0,4.4,0,0.3,0,0,0.3,0,0,0,0,0.9,1.1,0.75,0.4,1.1,1.6,0.1,0.1,0,0,0.7,0.9
1,Aidan Byrne / Massachusetts,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0,Jaylen Franklin / Massachusetts,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,D.J. Williams / George Washington,31,31,33.5,5.1,12.7,0.401,4.2,9.7,0.433,0.9,3,0.298,2.6,4,0.656,0.8,4,4.7,1.2,0.7,0.3,2,1.5,13.7
0,Maceo Jack / George Washington,33,28,28.4,3.9,9.8,0.399,2,4.2,0.474,1.9,5.6,0.344,1.7,1.9,0.875,0.8,3.1,3.9,0.9,0.5,0.3,1.2,1.5,11.5
0,Terry Nolan Jr. / George Washington,29,20,28,3,8.2,0.36,1.2,3.2,0.376,1.8,5,0.349,2.9,4.6,0.619,0.5,4.1,4.6,1.8,1,0.4,1.7,2.6,10.6
0,Justin Mazzulla / George Washington,33,33,33.5,3.5,8.6,0.401,2.8,6.3,0.447,0.6,2.3,0.276,1.4,2,0.687,1.2,3.4,4.5,3.5,1,0.2,2.6,2.7,8.9
1,Javier Langarica / George Washington,33,25,21.9,2.1,5.5,0.377,1.9,4.5,0.432,0.2,1.1,0.143,1.2,1.6,0.788,1.6,3.8,5.3,0.7,0.5,1.1,1.3,2.8,5.6
0,Armel Potter / George Washington,28,16,21.3,2.2,5.3,0.422,1.9,3.9,0.477,0.4,1.4,0.263,1.3,2,0.614,0.1,1.4,1.5,2.1,0.5,0,0.9,1,6
0,Justin Williams / George Washington,31,3,17.3,1.7,3.2,0.535,1.5,2.7,0.553,0.2,0.5,0.429,0.6,0.9,0.714,1.5,2.1,3.5,0.6,0.6,0.2,0.3,1.3,4.3
1,Arnaldo Toro / George Washington,7,7,29.4,3.7,8.1,0.456,3.6,7.3,0.49,0.1,0.9,0.167,2.6,3.7,0.692,3,6.3,9.3,0.7,1.4,0.9,1.7,2.6,10.1
1,Mezie Offurum / George Washington,26,1,8.2,0.7,1.5,0.475,0.7,1.3,0.514,0,0.2,0.2,0.5,0.8,0.667,0.2,0.8,1,0.4,0.1,0.2,0.9,0.8,2
1,Marcus Littles / George Washington,24,0,6.7,0.8,1.4,0.545,0.8,1.4,0.545,0,0,0,0.4,0.6,0.643,0.2,1,1.2,0.2,0,0.2,0.8,1.2,1.9
0,Adam Mitola / George Washington,24,0,5.9,0.3,0.7,0.412,0,0.1,0.333,0.3,0.6,0.429,0,0,0,0.1,0.1,0.2,0.1,0,0,0.4,0.5,0.8
0,Shandon Brown / George Washington,29,1,7.8,0.1,0.9,0.12,0,0.3,0,0.1,0.6,0.176,0.2,0.3,0.5,0,0.7,0.7,0.6,0.2,0,0.6,0.8,0.5
0,Malcolm Elashari-Rashed / George Washington,2,0,1.5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.5,0.5,0,1,0,1
1,Luke Sasser / George Washington,6,0,0.8,0.2,0.2,1,0.2,0.2,1,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0.2,0.3,0.3
0,Nick Honor / Fordham,32,32,36.1,5.4,14.6,0.373,3.3,8,0.406,2.2,6.6,0.332,2.2,2.7,0.816,0.6,1.8,2.4,3,0.9,0,1.7,1.9,15.3
0,Antwon Portley / Fordham,31,30,31.4,3.9,10.4,0.374,1.6,4,0.415,2.2,6.4,0.348,1.4,2.2,0.623,0.4,3.2,3.5,2.9,0.7,0.1,2,1.9,11.4
0,Jalen Cobb / Fordham,32,22,29.5,3.5,9.1,0.38,2.2,5.3,0.415,1.3,3.8,0.331,1.9,2.7,0.729,0.4,2.4,2.8,2.2,1.4,0.4,2,2.5,10.1
1,Chuba Ohams / Fordham,32,15,21.2,2.4,5.5,0.435,2.3,5.2,0.443,0.1,0.3,0.3,1.1,2.1,0.529,1.6,4.9,6.5,0.8,0.6,1.2,1.5,2.6,6
1,Jesse Bunting / Fordham,28,23,23.1,2.6,4.8,0.552,2.6,4.6,0.554,0.1,0.1,0.5,1.3,1.7,0.75,2.3,2.9,5.1,0.5,0.8,0.6,0.8,2.6,6.6
0,Ty Perry / Fordham,31,3,13.7,1.9,5.4,0.349,0.6,1.7,0.352,1.3,3.6,0.348,0.6,0.7,0.87,0.3,1.6,1.9,0.5,0.2,0,0.5,0.6,5.6
1,Ivan Raut / Fordham,30,17,20.1,1.6,4.3,0.367,0.4,0.7,0.571,1.2,3.6,0.327,0.3,0.5,0.563,0.2,2.3,2.5,0.5,0.6,0.1,0.7,1.3,4.6
1,Onyi Eyisi / Fordham,32,6,14.4,1.4,2.5,0.563,1.4,2.5,0.563,0,0,0,0.8,1.4,0.545,2,2,4,0.3,0.3,0.8,0.7,2.9,3.6
1,David Pekarek / Fordham,23,2,14.2,1.3,3.1,0.437,0.8,1.3,0.613,0.5,1.7,0.3,0.3,0.5,0.727,0.7,2.5,3.2,0.9,0.3,0.2,0.7,1,3.6
0,Erten Gazi / Fordham,5,2,16.8,2.4,4.8,0.5,2,3,0.667,0.4,1.8,0.222,0,0,0,1,1.4,2.4,0.6,0.6,0,0.8,1.6,5.2
0,Chris Austin / Fordham,9,6,8.4,0.4,1.7,0.267,0.2,0.4,0.5,0.2,1.2,0.182,0.1,0.4,0.25,0.3,0.6,0.9,0.4,0.3,0,0.3,1.2,1.2
1,Chris Downing / Fordham,8,2,3.9,0.5,0.8,0.667,0.5,0.8,0.667,0,0,0,0.3,0.6,0.4,0.5,0.5,1,0.3,0.1,0.1,0,0.5,1.3
0,Lazar Skoric / Fordham,9,0,4.1,0.1,0.3,0.333,0,0.1,0,0.1,0.2,0.5,0,0,0,0.1,0.1,0.2,0.1,0,0,0.1,0.7,0.3
0,Mason Williams / Fordham,7,0,1.6,0.1,0.6,0.25,0,0,0,0.1,0.6,0.25,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0.4
0,Peter Burquest / Fordham,5,0,2.4,0,0,0,0,0,0,0,0,0,0.4,0.4,1,0,0.2,0.2,0,0,0,0.2,0,0.4
1,Luka Radovich / Fordham,3,0,2,0,0.7,0,0,0,0,0,0.7,0,0,0,0,0,0.3,0.3,0,0,0.3,0,0,0
1,Scottie James / Liberty,36,35,24.5,4.9,7.3,0.665,4.6,6.6,0.699,0.2,0.7,0.333,2.7,3.8,0.713,2.9,5.7,8.6,1.1,0.3,0.6,1.7,2,12.6
0,Caleb Homesley / Liberty,36,27,27.8,5,10.8,0.461,3.4,5.8,0.591,1.6,5,0.311,0.9,1.3,0.702,0.5,5.1,5.6,2.7,0.7,0.6,1.4,1.9,12.4
0,Lovell Cabbil / Liberty,35,34,29.9,3.7,7.6,0.492,2.3,4.2,0.537,1.5,3.4,0.437,2.7,3.1,0.862,0.4,3.1,3.6,2.8,1.3,0.2,2.2,1.9,11.7
0,Darius McGhee / Liberty,36,0,21.3,2.8,7.2,0.384,1.1,1.9,0.567,1.7,5.3,0.319,0.6,0.6,0.909,0.3,2.4,2.7,1.1,0.9,0.3,0.5,1.1,7.8
1,Elijah Cuffee / Liberty,36,36,26.7,2.6,5.8,0.449,1,2.1,0.5,1.6,3.7,0.421,0.9,1,0.865,0.2,1.8,2,1.9,0.7,0.5,1.3,2.4,7.6
0,Georgie Pacheco-Ortiz / Liberty,36,35,25.6,2.3,5,0.467,1.1,2.3,0.458,1.3,2.7,0.474,1.3,1.5,0.868,0.2,1.4,1.6,2.3,0.7,0.1,0.9,1,7.2
1,Keenan Gumbs / Liberty,36,12,16.6,2.2,4.6,0.482,1.6,3,0.546,0.6,1.6,0.357,1,1.3,0.761,0.8,1.4,2.2,1.1,0.7,0.1,0.9,1.3,5.9
1,Myo Baxter-Bell / Liberty,36,1,15.3,2,4.1,0.483,2,3.8,0.522,0,0.3,0,1.1,1.4,0.745,0.8,1.8,2.6,1.5,0.6,0.2,1.2,2.4,5.1
1,Keegan McDowell / Liberty,31,0,10.4,1,2.2,0.478,0.5,0.7,0.714,0.5,1.5,0.37,0.1,0.1,1,0.1,0.6,0.7,0.5,0.1,0,0.4,0.8,2.7
1,Brendan Newton / Liberty,22,0,3,0.6,0.9,0.684,0.6,0.8,0.722,0,0,0,0.2,0.7,0.313,0.4,0.3,0.7,0.1,0,0.2,0.3,0.5,1.4
0,Zach Farquhar / Liberty,22,0,3.8,0.3,0.7,0.375,0,0,0,0.3,0.7,0.4,0.1,0.2,0.75,0,0.4,0.4,0.2,0,0,0,0.2,1
0,Garrison Mathews / Lipscomb,36,36,30.1,6.2,13.9,0.443,2.9,5.9,0.498,3.2,8,0.403,5.3,6.1,0.86,0.7,4.8,5.5,1.9,0.8,0.3,2.3,1.9,20.8
1,Rob Marberry / Lipscomb,34,34,24,6.4,10.1,0.63,6.4,10.1,0.632,0,0,0,2.1,3.1,0.67,1.5,2.6,4.1,1.9,0.5,0.6,0.9,2,14.8
0,Kenny Cooper / Lipscomb,36,35,26.6,3.7,8.3,0.444,2.8,5.9,0.479,0.9,2.4,0.36,1.6,2.6,0.617,0.6,2.9,3.5,4.5,2,0.2,2.3,2.4,9.8
1,Ahsan Asadullah / Lipscomb,37,2,14.2,3.1,5.4,0.565,3.1,5.4,0.565,0,0,0,1.3,1.9,0.676,1.9,2.8,4.6,0.8,0.6,0.6,1.3,1.8,7.4
1,Eli Pepper / Lipscomb,37,37,22.5,2.4,4.5,0.524,1.8,2.9,0.602,0.6,1.6,0.379,1.9,2.5,0.753,1.5,5.8,7.3,1.7,0.8,0.6,1.8,2.7,7.2
1,Matt Rose / Lipscomb,37,2,13.8,1.8,4.3,0.421,0.5,0.9,0.5,1.4,3.4,0.4,0.9,1.2,0.814,0.5,1.7,2.2,0.6,0.3,0.1,0.4,1,5.9
0,Michael Buckland / Lipscomb,36,35,26.5,1.9,4.4,0.44,1,1.8,0.53,1,2.6,0.376,0.9,1.2,0.738,0.2,2.6,2.8,2.3,0.8,0.4,1,2.2,5.7
0,Nathan Moran / Lipscomb,36,4,13,1.3,3.8,0.336,0.3,0.6,0.391,1,3.2,0.325,0.8,0.8,0.967,0.3,0.8,1,1.3,0.5,0,1,0.9,4.4
0,Andrew Fleming / Lipscomb,34,0,10,1.4,2.8,0.495,0.9,1.6,0.537,0.5,1.2,0.439,0.8,1,0.765,0.4,1.3,1.7,1,0.2,0.1,0.9,1.1,4.1
0,Jake Wolfe / Lipscomb,35,0,11.8,0.9,2.1,0.446,0.7,1.4,0.51,0.2,0.7,0.32,0.8,1.1,0.73,0.3,0.9,1.2,0.9,0.2,0.1,0.7,0.5,2.9
0,Alex Jones / Lipscomb,35,0,7.6,0.5,1.4,0.327,0.4,0.8,0.448,0.1,0.6,0.15,0.3,0.5,0.588,0.1,0.9,1,1,0.7,0,0.5,0.8,1.3
0,John Matt Merritt / Lipscomb,18,0,5.4,0.7,1.1,0.65,0.5,0.6,0.818,0.2,0.5,0.444,0.1,0.2,0.667,0,0.3,0.3,0.4,0.1,0,0.3,0.2,1.8
0,Greg Jones / Lipscomb,9,0,11.1,0.7,2.4,0.273,0.6,1.2,0.455,0.1,1.2,0.091,0.8,0.8,1,0.6,1.2,1.8,0.4,0.3,0.1,0.4,0.8,2.2
0,Zach Flener / Lipscomb,14,0,2.9,0.2,0.6,0.375,0.1,0.2,0.333,0.1,0.4,0.4,0.2,0.2,1,0,0.5,0.5,0.2,0,0,0.4,0.3,0.8
1,Noah Horchler / North Florida,28,28,31.2,6.9,12.8,0.538,6.1,10.2,0.598,0.8,2.5,0.296,1.5,3,0.512,2.5,6.9,9.3,1.3,0.9,1.7,2.1,2.6,16
0,Garrett Sams / North Florida,33,31,28.8,3.7,9.5,0.389,1.8,4,0.439,1.9,5.5,0.352,3.2,3.9,0.813,1.2,3.7,4.9,2.5,1.2,0.2,3.2,2.1,12.5
1,Wajid Aminu / North Florida,33,32,25.8,4.7,8.6,0.551,4.4,7.8,0.57,0.3,0.8,0.37,1.9,3.1,0.612,2.4,4.1,6.5,1.4,0.9,2.1,1.9,3.2,11.7
0,Ivan Gandia-Rosa / North Florida,33,32,30.3,3.7,8.6,0.425,1.9,4,0.47,1.8,4.6,0.386,1.4,1.8,0.75,0.6,2.6,3.2,5.8,1,0.2,2.5,1.8,10.5
0,J.T. Escobar / North Florida,33,31,27.5,3.3,8,0.411,1,1.9,0.516,2.3,6.1,0.378,1.1,1.5,0.729,0.2,1.8,2,1.2,0.5,0,1.3,1.9,9.9
1,Carter Hendricksen / North Florida,33,6,17,1.3,3.9,0.341,0.6,1.1,0.514,0.8,2.8,0.272,0.9,1.1,0.806,0.8,3.2,3.9,1.3,0.2,0.2,1.2,1.7,4.3
1,Ezekiel Balogun / North Florida,32,0,9.9,1.5,3,0.516,1.3,2.3,0.554,0.3,0.7,0.381,0.3,0.8,0.458,1.3,1.7,3,0.3,0.6,0.6,1,1.5,3.7
1,Trip Day / North Florida,24,2,13,1.8,4.1,0.424,1.6,3,0.542,0.1,1.1,0.111,1,1.5,0.686,0.8,1.7,2.5,0.7,0.7,0.4,1.5,1.8,4.6
0,Ryan Burkhardt / North Florida,33,2,13,1,2.6,0.368,0.2,0.3,0.455,0.8,2.3,0.355,0.1,0.1,1,0.2,0.9,1.2,0.4,0.2,0,0.5,0.4,2.9
0,Brian Coffey II / North Florida,33,1,10,0.8,2,0.403,0.5,1.1,0.417,0.4,0.9,0.387,0.2,0.3,0.778,0.2,0.4,0.5,1.2,0.3,0,1.2,0.9,2.2
1,Cam Copeland / North Florida,12,0,6.7,0.8,2.9,0.257,0.5,1.6,0.316,0.3,1.3,0.188,0.7,0.7,1,0.1,0.3,0.3,0.4,0.3,0,0.3,0.4,2.4
0,Emmanuel Lambright / North Florida,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0
0,Christian Schach / North Florida,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Schadrac Casimir / Florida Gulf Coast,32,31,30.8,4.2,8.7,0.48,1.9,3.9,0.484,2.3,4.8,0.477,3.4,3.9,0.879,0.5,2.1,2.6,2.4,1,0,2.1,1.4,14.1
0,Dinero Mercurius / Florida Gulf Coast,31,15,22.4,3.4,7.8,0.432,1.5,2.9,0.533,1.8,4.9,0.371,1.9,2.5,0.734,0.4,1.5,1.9,1.4,1.4,0,1.2,1.7,10.4
0,Zach Scott / Florida Gulf Coast,32,22,22.4,2.9,7.1,0.414,1.5,3.6,0.414,1.4,3.5,0.414,1.1,1.5,0.714,0.6,2.5,3.1,0.8,0.8,0.2,1.3,1.2,8.4
0,Christian Carlyle / Florida Gulf Coast,32,23,23.4,3.1,6.6,0.471,2.7,5.2,0.518,0.4,1.4,0.295,1.5,2.5,0.6,0.8,2.5,3.3,2.2,0.9,0.2,1.2,2.3,8.1
1,Troy Baxter / Florida Gulf Coast,30,17,19.6,2.8,6.9,0.409,1.9,3.5,0.528,1,3.4,0.284,0.8,1.2,0.676,0.8,2.1,2.9,1.1,0.3,1.1,2,2.4,7.5
0,Caleb Catto / Florida Gulf Coast,32,0,17.9,1.6,3.7,0.432,1,1.8,0.534,0.6,1.9,0.333,0.3,0.5,0.588,0.4,2,2.4,1.7,0.6,0.2,1.7,1.3,4.1
0,Haanif Cheatham / Florida Gulf Coast,10,9,27.3,4.9,10.8,0.454,4.1,8.6,0.477,0.8,2.2,0.364,2.6,4,0.65,0.4,4.4,4.8,1.9,1.2,0.2,2.4,1.2,13.2
1,RaySean Scott Jr. / Florida Gulf Coast,22,9,17.5,2.2,5.4,0.415,1.8,3.8,0.464,0.5,1.5,0.294,0.6,1.2,0.481,1.5,4.2,5.7,1,0.3,0.4,1.5,2.3,5.5
1,Brady Ernst / Florida Gulf Coast,27,15,16.8,1.7,2.7,0.625,1.7,2.7,0.625,0,0,0,1,1.8,0.551,1.5,2.7,4.1,0.9,0.3,0.6,1.1,1.8,4.3
0,Decardo Day / Florida Gulf Coast,19,1,20.5,2,5,0.4,1.4,3.1,0.448,0.6,1.9,0.324,1.4,2.2,0.619,0.2,2.2,2.4,3.6,1.1,0.3,2.6,1.7,6
1,Brian Thomas / Florida Gulf Coast,23,14,19.4,2,2.9,0.672,2,2.9,0.672,0,0,0,0.3,1.2,0.25,1.5,3.2,4.7,0.3,0.4,1.9,1,1.7,4.2
1,Ricky Doyle / Florida Gulf Coast,12,3,9.9,1.3,2.7,0.469,1.3,2.7,0.469,0,0,0,0.8,1.3,0.563,0.6,1.2,1.8,0.3,0.2,0.4,0.8,0.7,3.3
0,Dolan Mahoney / Florida Gulf Coast,5,1,2.8,0.2,1,0.2,0,0,0,0.2,1,0.2,0,0,0,0,0.6,0.6,0,0,0,0.4,0.4,0.6
0,Kyle Hoffman / Florida Gulf Coast,3,0,2,0,1.3,0,0,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ryan Rocuant / Florida Gulf Coast,4,0,2,0,0.8,0,0,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0.3,0
0,Zach Cooks / Njit,35,35,37.3,6.2,13.7,0.451,4.1,7.7,0.53,2.1,6,0.349,3.2,4.4,0.732,0.6,4.2,4.8,2.1,2.5,0.1,2.2,1.9,17.6
0,Diandre Wilson / Njit,34,30,29.8,3.5,8.6,0.405,2,4.2,0.472,1.5,4.4,0.342,3.5,4.5,0.776,0.4,2.5,2.9,1.7,0.9,0.2,1.5,2,11.9
1,Abdul Lewis / Njit,29,28,33.1,4.8,11.1,0.435,4.4,9.6,0.466,0.4,1.6,0.244,3,4.4,0.667,2.2,6.8,9.1,2,0.4,0.9,3.2,2.7,13
0,Shyquan Gibbs / Njit,35,35,30.7,2.8,6,0.467,2,4.1,0.5,0.8,1.9,0.397,2.2,2.9,0.772,0.1,2,2.1,2.2,0.8,0.1,1.1,2.3,8.6
1,San Antonio Brinson / Njit,35,31,19.3,2.2,4.9,0.456,1.9,3.5,0.537,0.3,1.4,0.25,1.2,1.9,0.621,0.8,3.2,4.1,0.5,0.5,0.5,1.5,2.4,6
1,Mohamed Bendary / Njit,35,9,13.2,1.7,2.8,0.619,1.7,2.7,0.625,0,0,0,0.7,1,0.722,0.7,1.9,2.6,0.7,0.2,0.4,0.7,1.7,4.2
0,Shawndale Jones / Njit,35,1,15.1,1.3,3,0.443,0.9,1.8,0.508,0.4,1.2,0.349,1,1.4,0.694,0.5,1.8,2.3,0.5,0.3,0.1,0.6,0.8,4.1
0,Donovan Greer / Njit,26,0,12,1.5,3.6,0.415,0.5,1.3,0.382,1,2.3,0.433,0.5,0.6,0.75,0.4,1,1.4,0.3,0.5,0.2,0.6,1.3,4.5
1,Kjell de Graaf / Njit,26,2,9.3,0.6,1.9,0.327,0.2,0.5,0.333,0.5,1.4,0.324,0.3,0.4,0.727,0.5,1,1.5,0.5,0.1,0.2,0.4,1,2
0,Diego Willis / Njit,28,1,9.7,0.7,2.1,0.322,0.2,0.6,0.353,0.5,1.5,0.31,0,0.1,0.333,0.1,1.3,1.5,0.6,0.2,0,0.4,0.5,1.9
1,Souleymane Diakite / Njit,16,0,8.4,0.6,1.2,0.526,0.6,1.2,0.526,0,0,0,0.5,0.8,0.667,0.9,2,2.9,0.4,0.2,0.6,0.3,1.6,1.8
0,Reilly Walsh / Njit,3,3,20.7,2,4,0.5,0.3,1.3,0.25,1.7,2.7,0.625,1.3,1.3,1,0.7,1.7,2.3,0.3,0.7,0.3,0.7,2.7,7
0,Patrick Jamison / Njit,3,0,1.3,0.7,0.7,1,0.3,0.3,1,0.3,0.3,1,0,0,0,0,0,0,0,0,0,0.7,0,1.7
1,Taj Price / Njit,4,0,2.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.3,0.3,0.5,0,0,0,0.3,1.3,0
0,Jamari Blackmon / North Alabama,32,29,35.3,4.3,13.2,0.325,2.2,5.8,0.369,2.1,7.3,0.291,3.9,5.1,0.767,0.8,2.7,3.5,2.7,1.8,0.2,1.9,2.6,14.6
0,Kendarius Smith / North Alabama,32,30,33.4,4.1,11,0.376,2,4.5,0.444,2.1,6.5,0.329,1.9,2.8,0.674,0.7,3.6,4.3,2.7,1.4,0,2.2,2.3,12.3
0,Kendall Stafford / North Alabama,32,30,32.1,4.2,9.9,0.418,2.7,5.4,0.506,1.4,4.6,0.315,0.8,1.3,0.659,1.6,5.1,6.7,1.9,0.6,0.1,2,2.3,10.6
0,Christian Agnew / North Alabama,29,18,26.4,4,10.1,0.391,3.1,6.8,0.452,0.9,3.3,0.268,2.4,3.7,0.664,0.7,2.3,3.1,1.1,1.1,0.1,2.2,3.1,11.3
0,Tavon King / North Alabama,32,7,17.6,1.7,4.2,0.403,1.2,2.5,0.494,0.5,1.7,0.273,1.6,2.4,0.658,0.3,0.8,1,0.9,0.6,0.1,1.1,2,5.4
1,Emanuel Littles / North Alabama,30,18,22.5,1.8,4.3,0.423,1.8,4.1,0.435,0,0.2,0.167,0.8,1.6,0.49,3,5,8,0.6,0.3,0.6,1.2,2.6,4.5
1,Cameron Diggs / North Alabama,26,10,14.2,1.7,2.7,0.629,1.7,2.7,0.638,0,0,0,0.5,0.9,0.609,0.7,2,2.7,0.2,0.2,0.3,1,2,3.9
1,Cantavio Dutreil / North Alabama,31,5,9.8,1,2.1,0.492,1,2.1,0.492,0,0,0,0.6,0.9,0.69,1.2,2.3,3.5,0,0.3,0.6,0.4,1.8,2.7
0,Aleksa Matic / North Alabama,21,4,9.3,0.9,2.6,0.327,0.2,0.8,0.294,0.6,1.8,0.342,0.4,0.4,1,0,0.5,0.6,0.4,0.2,0,0.8,0.8,2.7
1,Logan Windeler / North Alabama,27,3,6.5,0.6,1.8,0.313,0.6,1.3,0.429,0,0.5,0,0.1,0.5,0.308,0.4,1,1.4,0.2,0.1,0.3,0.6,0.6,1.3
1,Payton Youngblood / North Alabama,4,4,26.3,2,5.5,0.364,1.3,3.8,0.333,0.8,1.8,0.429,3,3.8,0.8,1,2,3,1.3,1.3,0.3,2,1.5,7.8
1,Andrew Morrissey / North Alabama,6,2,7.8,0.2,1,0.167,0.2,0.8,0.2,0,0.2,0,0.3,1,0.333,0.5,1,1.5,0,0,0,0.3,0.8,0.7
0,JD Notae / Jacksonville,32,23,29.2,5.5,13,0.427,3.6,6.9,0.52,1.9,6.1,0.32,2.5,3.5,0.73,0.9,5.3,6.2,3.4,1.6,0.4,3.3,2.4,15.5
1,Jace Hogan / Jacksonville,32,32,25.5,4.9,10.3,0.471,4.8,10.1,0.475,0.1,0.2,0.286,2.3,3.4,0.682,2,3.3,5.3,0.9,0.6,0.6,1.8,1.6,12.2
0,Tyreese Davis / Jacksonville,29,29,27.8,3.8,7.8,0.482,2.8,5,0.562,0.9,2.8,0.338,1.6,2.2,0.734,1.2,3.1,4.2,2.7,1.4,0.7,1.6,2,10.1
1,David Bell / Jacksonville,31,23,18.3,3.2,5.8,0.547,3.2,5.7,0.551,0,0,0,1.2,2.1,0.594,2.1,3.7,5.7,0.4,0.5,1.3,1.7,2.2,7.5
0,Jalyn Hinton / Jacksonville,32,11,22.1,3,5.1,0.589,3,5.1,0.589,0,0,0,1.2,2.4,0.481,1.3,3.7,4.9,1.3,0.8,1.8,1.2,1.6,7.2
0,DeAnthony McCallum / Jacksonville,32,3,17,2.3,5.3,0.435,1.3,2.4,0.551,1,2.9,0.337,1.4,1.8,0.746,0.3,1.2,1.5,1.1,0.5,0.3,1.5,2.3,7
0,Aamahne Santos / Jacksonville,32,31,28.6,2.3,6.3,0.361,0.9,2.3,0.4,1.3,4,0.339,0.9,0.9,0.966,0.3,1.5,1.8,2.4,0.6,0.1,1.5,1.3,6.8
0,Tanner Rubio / Jacksonville,31,8,14.4,1.1,3.3,0.347,0.3,0.6,0.45,0.8,2.6,0.321,0.3,0.4,0.769,0.1,0.9,1,1.4,0.2,0,0.7,0.7,3.4
1,Bryce Workman / Jacksonville,27,0,8.1,1,2.1,0.456,1,2.1,0.456,0,0,0,0.6,0.9,0.6,0.8,1.3,2.1,0.3,0.2,0.1,0.5,1.2,2.5
0,Derrick Flowers / Jacksonville,25,0,9.3,0.6,1.5,0.405,0.2,0.4,0.364,0.4,1,0.423,0.3,0.6,0.571,0.3,0.8,1.1,0.5,0.2,0,0.3,0.7,2
0,Corey Romich / Jacksonville,17,0,5.7,0.5,1.4,0.391,0.2,0.2,1,0.4,1.2,0.3,0.2,0.3,0.6,0.2,0.4,0.6,0.1,0.1,0,0.1,0.8,1.6
0,KJ Fitzgerald / Jacksonville,12,0,5.9,0.8,2.1,0.4,0.7,1.4,0.471,0.2,0.7,0.25,0.3,0.6,0.571,0.1,0.7,0.8,1.1,0.3,0,0.8,0.8,2.2
