Name,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Austin Katstra,virginia,11,0,2.6,0.4,0.9,.400,0.2,0.2,1.000,0.2,0.7,.250,0.0,0.0,,0.1,0.5,0.5,0.3,0.0,0.1,0.1,0.4,0.9
Jayden Nixon,virginia,14,0,3.0,0.2,0.7,.300,0.2,0.5,.429,0.0,0.2,.000,0.1,0.3,.500,0.2,0.4,0.6,0.1,0.1,0.1,0.3,0.7,0.6
Francesco Badocchi,virginia,11,0,2.5,0.2,0.4,.500,0.2,0.3,.667,0.0,0.1,.000,0.1,0.2,.500,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.2,0.5
Cameron Johnson,north-carolina,36,36,29.9,5.9,11.6,.506,3.2,5.8,.556,2.7,5.8,.457,2.5,3.1,.818,1.8,3.9,5.8,2.4,1.2,0.3,1.5,1.5,16.9
Coby White,north-carolina,35,35,28.5,5.4,12.7,.423,3.0,6.1,.500,2.3,6.6,.353,3.0,3.7,.800,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1
Luke Maye,north-carolina,36,36,30.9,5.5,12.8,.430,4.5,9.3,.484,1.0,3.5,.288,2.9,3.7,.774,2.6,7.9,10.5,2.3,0.6,0.6,2.0,2.6,14.9
Nassir Little,north-carolina,36,0,18.2,3.6,7.6,.478,3.3,6.2,.527,0.4,1.4,.269,2.1,2.8,.770,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8
Kenny Williams,north-carolina,36,36,30.0,3.0,7.4,.399,1.8,3.4,.525,1.2,4.1,.295,1.4,1.8,.797,1.1,2.8,3.9,3.5,0.9,0.3,1.6,1.8,8.6
Garrison Brooks,north-carolina,36,36,23.0,3.2,5.6,.574,3.2,5.6,.574,0.0,0.0,,1.5,2.3,.639,2.3,3.3,5.6,1.3,0.6,0.5,0.8,2.9,7.9
Sterling Manley,north-carolina,18,0,8.3,1.4,2.5,.578,1.4,2.5,.578,0.0,0.0,,0.6,1.1,.550,0.8,2.2,2.9,0.2,0.2,0.4,0.7,1.4,3.5
Brandon Robinson,north-carolina,35,0,11.9,1.2,2.4,.494,0.5,1.0,.543,0.7,1.4,.460,0.3,0.5,.632,0.5,1.1,1.6,1.4,0.4,0.1,0.5,1.4,3.4
Leaky Black,north-carolina,23,0,10.3,1.0,2.1,.469,0.8,1.6,.486,0.2,0.5,.417,0.3,0.3,.857,0.4,1.7,2.1,1.2,0.6,0.2,0.7,1.2,2.5
Seventh Woods,north-carolina,34,1,10.8,0.9,2.2,.419,0.8,1.9,.422,0.1,0.3,.400,0.5,0.8,.643,0.1,0.9,1.0,2.1,0.9,0.1,1.5,1.1,2.5
Brandon Huffman,north-carolina,27,0,2.5,0.5,0.8,.591,0.5,0.8,.591,0.0,0.0,,0.2,0.4,.417,0.4,0.5,0.9,0.1,0.1,0.1,0.0,0.3,1.1
Andrew Platek,north-carolina,32,0,3.7,0.4,0.9,.467,0.3,0.5,.600,0.2,0.5,.333,0.1,0.1,.500,0.1,0.2,0.3,0.2,0.2,0.1,0.2,0.5,1.1
K.J. Smith,north-carolina,22,0,1.8,0.3,0.7,.467,0.2,0.4,.500,0.1,0.3,.429,0.2,0.2,.800,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.1,1.0
Walker Miller,north-carolina,19,0,1.6,0.4,0.6,.583,0.4,0.6,.583,0.0,0.0,,0.1,0.3,.400,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.8
Caleb Ellis,north-carolina,19,0,1.5,0.2,0.3,.667,0.2,0.3,.600,0.1,0.1,1.000,0.1,0.2,.333,0.1,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.5
Shea Rush,north-carolina,19,0,1.4,0.0,0.4,.000,0.0,0.3,.000,0.0,0.1,.000,0.1,0.3,.400,0.2,0.2,0.3,0.1,0.1,0.0,0.2,0.2,0.1
R.J. Barrett,duke,38,38,35.3,8.4,18.5,.454,6.5,12.2,.529,1.9,6.2,.308,3.9,5.9,.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6
Zion Williamson,duke,33,33,30.0,9.0,13.2,.680,8.2,11.0,.747,0.7,2.2,.338,3.9,6.2,.640,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6
Cam Reddish,duke,36,35,29.7,4.3,12.0,.356,1.8,4.6,.394,2.5,7.4,.333,2.4,3.2,.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5
Tre Jones,duke,36,36,34.2,3.7,8.9,.414,2.9,6.0,.486,0.8,2.9,.262,1.3,1.7,.758,0.9,2.9,3.8,5.3,1.9,0.2,1.5,1.6,9.4
Marques Bolden,duke,35,21,19.0,1.9,3.3,.579,1.9,3.1,.617,0.0,0.2,.000,1.5,2.1,.726,1.9,2.5,4.5,0.5,0.5,1.7,0.7,2.1,5.3
Alex O'Connell,duke,36,7,14.0,1.5,3.4,.447,0.7,1.2,.581,0.8,2.2,.375,0.5,0.7,.760,0.4,1.4,1.9,0.6,0.6,0.0,0.8,0.5,4.4
Jack White,duke,35,3,20.5,1.3,3.7,.359,0.6,1.0,.588,0.8,2.8,.278,0.7,0.8,.852,1.3,3.4,4.7,0.7,0.6,1.1,0.7,1.8,4.1
Javin DeLaurier,duke,38,16,16.3,1.6,2.1,.747,1.6,2.1,.756,0.0,0.0,.000,0.7,1.3,.560,1.7,2.6,4.4,0.4,0.9,1.3,0.8,2.7,3.8
Antonio Vrankovic,duke,17,1,5.2,0.4,0.8,.500,0.4,0.8,.500,0.0,0.0,,0.5,0.9,.563,0.8,0.5,1.3,0.4,0.1,0.3,0.2,0.9,1.4
Justin Robinson,duke,17,0,3.4,0.5,0.8,.615,0.2,0.2,1.000,0.2,0.5,.444,0.0,0.1,.000,0.1,0.4,0.5,0.1,0.1,0.2,0.2,0.4,1.2
Brennan Besser,duke,4,0,3.0,0.3,1.5,.167,0.3,0.5,.500,0.0,1.0,.000,0.5,0.5,1.000,0.5,0.3,0.8,0.3,0.0,0.0,0.3,0.3,1.0
Jordan Goldwire,duke,35,0,8.6,0.3,1.3,.273,0.3,0.5,.474,0.1,0.7,.120,0.1,0.2,.500,0.2,0.6,0.8,0.7,0.6,0.0,0.3,0.9,0.9
Joey Baker,duke,4,0,4.5,0.3,1.0,.250,0.0,0.5,.000,0.3,0.5,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.3,0.5,1.3,0.8
Mike Buckmire,duke,4,0,3.3,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,0.0,0.0,,0.5,0.5,1.0,0.3,0.0,0.0,0.3,0.0,0.0
Mfiondu Kabengele,florida-state,37,0,21.6,4.4,8.8,.502,3.8,7.1,.534,0.6,1.8,.369,3.7,4.9,.761,2.1,3.8,5.9,0.3,0.6,1.5,1.3,2.6,13.2
Terance Mann,florida-state,37,36,31.7,4.0,7.9,.505,3.2,5.8,.547,0.8,2.1,.390,2.6,3.4,.790,2.5,4.0,6.5,2.5,0.7,0.3,1.8,2.2,11.4
Trent Forrest,florida-state,37,36,29.9,3.0,6.9,.439,2.8,6.1,.467,0.2,0.8,.233,3.1,3.9,.779,0.8,3.7,4.5,3.7,1.9,0.2,2.0,1.6,9.3
M.J. Walker,florida-state,35,34,25.9,2.4,7.1,.340,1.2,3.3,.353,1.3,3.8,.328,1.4,1.8,.778,0.4,1.8,2.2,1.6,0.8,0.2,1.9,2.6,7.5
Phil Cofer,florida-state,22,19,26.2,2.8,7.1,.391,1.5,3.3,.438,1.3,3.8,.349,0.5,1.0,.571,0.6,2.9,3.5,0.8,0.1,0.1,1.4,1.4,7.4
Christ Koumadje,florida-state,37,37,15.5,2.9,4.6,.627,2.9,4.5,.631,0.0,0.0,.000,0.9,1.5,.582,2.0,3.6,5.6,0.2,0.2,1.4,1.2,2.0,6.6
David Nichols,florida-state,35,1,17.5,2.2,5.7,.387,1.2,2.5,.472,1.0,3.1,.318,1.0,1.4,.694,0.3,1.4,1.7,1.7,0.7,0.1,1.4,2.2,6.4
PJ Savoy,florida-state,37,18,14.6,1.8,5.1,.364,0.4,0.8,.552,1.4,4.3,.329,0.9,1.1,.821,0.2,1.0,1.2,0.5,0.5,0.1,0.8,1.2,5.9
Devin Vassell,florida-state,33,0,10.7,1.6,3.6,.437,0.8,1.7,.456,0.8,1.9,.419,0.6,0.8,.679,0.4,1.2,1.5,0.6,0.5,0.3,0.4,0.9,4.5
