Name,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Calvin Martin,sacramento-state,25,21,12.3,0.8,1.6,.513,0.8,1.6,.513,0.0,0.0,,0.4,0.6,.643,0.8,1.1,1.8,0.2,0.4,0.1,0.9,2.0,2.0
Kevin Hicks,sacramento-state,9,0,4.7,0.4,1.2,.364,0.0,0.1,.000,0.4,1.1,.400,0.6,0.6,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.4,1.9
James Bridges,sacramento-state,27,0,12.1,0.6,1.6,.357,0.1,0.3,.571,0.4,1.3,.314,0.2,0.3,.714,0.2,0.8,1.0,0.2,0.2,0.1,0.1,0.4,1.7
Grant Greabel,sacramento-state,9,1,4.9,0.6,1.3,.417,0.3,0.3,1.000,0.2,1.0,.222,0.1,0.3,.333,0.1,1.0,1.1,0.3,0.1,0.0,0.0,0.2,1.4
Jamion Wright,sacramento-state,10,0,1.7,0.2,0.4,.500,0.0,0.1,.000,0.2,0.3,.667,0.0,0.1,.000,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.7,0.6
Elijah McCullough,sacramento-state,2,0,7.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
Bernie Andre,northern-arizona,31,31,29.9,5.1,11.4,.449,4.2,8.5,.489,0.9,2.8,.330,2.7,3.6,.741,2.4,6.1,8.5,1.2,0.7,0.3,1.9,2.4,13.8
Carlos Hines,northern-arizona,30,25,28.8,4.3,11.7,.371,2.6,6.0,.441,1.7,5.7,.298,2.5,3.4,.728,0.4,2.1,2.5,4.0,1.4,0.1,2.9,2.6,12.9
Ted McCree,northern-arizona,26,17,23.7,3.7,9.1,.411,1.8,3.8,.460,2.0,5.2,.375,1.3,1.5,.872,0.2,1.9,2.1,1.0,0.7,0.1,1.2,1.0,10.7
Luke Avdalovic,northern-arizona,30,23,26.6,3.0,6.3,.484,0.6,1.3,.450,2.4,4.9,.493,1.0,1.2,.857,0.1,2.0,2.1,0.9,0.6,0.0,0.5,1.1,9.5
Cameron Shelton,northern-arizona,30,25,27.5,2.4,6.1,.386,1.9,4.8,.406,0.4,1.4,.317,2.8,3.8,.743,1.0,3.1,4.1,2.5,1.2,0.2,1.7,2.4,8.0
Brooks DeBisschop,northern-arizona,30,23,25.0,2.8,4.8,.579,2.7,4.5,.607,0.1,0.3,.200,1.4,2.4,.562,2.2,3.8,5.9,1.3,0.8,0.7,1.0,2.5,7.0
Davon Bolton,northern-arizona,31,3,14.5,1.6,4.6,.347,1.1,2.2,.493,0.5,2.5,.221,1.2,1.8,.691,0.1,1.3,1.4,1.1,0.2,0.0,1.3,1.3,5.0
Nik Mains,northern-arizona,31,0,15.4,1.7,3.5,.495,1.3,1.9,.650,0.5,1.6,.306,0.9,1.3,.700,0.5,1.4,1.9,0.3,0.5,0.4,0.5,1.5,4.9
Isaiah Thomas,northern-arizona,23,5,8.4,1.1,2.0,.556,1.1,2.0,.556,0.0,0.0,,0.3,0.7,.375,0.7,1.1,1.9,0.1,0.1,0.4,0.5,1.8,2.4
Chris Bowling,northern-arizona,20,0,10.5,0.6,2.3,.267,0.2,0.8,.250,0.4,1.5,.276,0.4,0.5,.700,0.1,0.9,1.0,0.2,0.3,0.1,0.6,0.9,2.0
Aziz Seck,northern-arizona,20,3,6.9,0.7,1.1,.619,0.7,1.1,.619,0.0,0.0,,0.4,0.9,.389,0.5,1.0,1.4,0.3,0.2,0.2,0.7,1.8,1.7
Brandon Boyd,idaho-state,30,26,30.0,5.0,12.1,.410,3.8,8.1,.469,1.2,4.0,.292,3.1,3.9,.797,0.4,2.0,2.5,3.6,1.0,0.1,2.5,1.7,14.2
Balint Mocsan,idaho-state,30,28,27.2,3.7,8.3,.448,1.3,2.8,.482,2.4,5.5,.430,1.6,1.9,.810,0.2,1.9,2.1,2.1,0.9,0.2,1.7,1.8,11.3
Kelvin Jones,idaho-state,29,28,20.0,4.1,7.5,.553,4.1,7.5,.553,0.0,0.0,,1.6,2.4,.657,1.9,3.7,5.6,0.7,0.3,1.5,1.9,3.9,9.9
Gary Chivichyan,idaho-state,29,3,19.2,2.9,6.6,.437,0.7,1.3,.538,2.1,5.2,.411,0.7,0.9,.731,0.1,1.5,1.7,0.4,0.3,0.0,0.7,0.6,8.5
Chier Maker,idaho-state,30,30,27.3,2.9,6.8,.433,1.6,2.7,.600,1.3,4.1,.325,0.9,1.4,.683,2.0,4.7,6.7,1.0,0.5,0.4,1.2,1.7,8.1
Jared Stutzman,idaho-state,30,29,27.4,2.5,6.1,.410,1.0,2.0,.508,1.5,4.1,.361,1.4,1.7,.840,0.2,2.5,2.7,1.5,0.5,0.2,0.9,1.2,7.9
Alonzo Walker,idaho-state,30,1,19.1,2.7,5.3,.519,2.6,5.0,.523,0.1,0.3,.444,1.3,1.9,.667,2.0,2.6,4.6,0.8,0.7,0.5,1.1,2.3,6.9
Chidi Udengwu,idaho-state,17,0,9.3,1.2,2.4,.500,1.2,2.4,.500,0.0,0.0,,1.1,1.7,.621,0.8,2.6,3.4,0.6,0.3,0.1,1.1,1.2,3.4
Austin Smellie,idaho-state,29,3,11.8,0.6,1.3,.421,0.2,0.5,.500,0.3,0.8,.375,0.5,0.6,.824,0.3,0.8,1.1,0.7,0.3,0.0,0.4,0.8,1.9
Sam Dowd,idaho-state,27,1,9.0,0.7,2.3,.290,0.6,1.7,.319,0.1,0.6,.200,0.4,0.6,.667,0.1,0.4,0.5,1.6,0.3,0.0,0.7,1.0,1.8
Houston Wahlen,idaho-state,2,0,2.5,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Blake Truman,idaho-state,18,1,5.9,0.6,1.2,.455,0.3,0.4,.714,0.3,0.8,.333,0.0,0.1,.000,0.2,0.3,0.5,0.1,0.2,0.1,0.2,0.8,1.4
Lyle Sutton,idaho-state,17,0,4.2,0.4,0.8,.462,0.4,0.5,.667,0.0,0.2,.000,0.6,0.9,.625,0.2,0.3,0.5,0.4,0.4,0.0,0.1,1.1,1.3
Andrew Vaughan,idaho-state,2,0,2.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevon Allen,idaho,32,30,30.3,5.4,12.7,.425,4.0,8.4,.476,1.4,4.3,.326,1.8,2.5,.734,0.3,3.8,4.2,3.1,0.7,0.1,2.0,1.6,14.0
Cameron Tyson,idaho,32,31,25.4,4.4,10.6,.419,1.1,2.9,.391,3.3,7.7,.429,1.3,1.5,.875,0.4,1.6,1.9,0.8,0.5,0.1,1.5,1.8,13.5
Jared Rodriguez,idaho,32,31,26.6,4.1,8.7,.471,3.2,6.5,.490,0.9,2.2,.414,2.1,2.6,.817,2.0,4.5,6.5,1.0,0.4,0.6,2.2,3.2,11.2
Marquell Fraser,idaho,8,5,26.1,3.6,7.9,.460,3.5,7.1,.491,0.1,0.8,.167,2.3,3.9,.581,1.5,5.0,6.5,3.1,1.1,0.1,2.3,1.4,9.6
Scott Blakney,idaho,31,27,23.8,3.0,5.2,.571,3.0,5.1,.582,0.0,0.1,.000,1.5,2.2,.696,1.7,3.0,4.7,0.7,0.2,0.4,1.3,3.6,7.5
Geno West,idaho,27,9,18.4,1.9,4.7,.394,1.0,2.2,.475,0.8,2.5,.324,1.0,1.3,.765,0.1,1.5,1.6,1.7,0.8,0.0,1.6,1.3,5.5
Rayquawndis Mitchell,idaho,31,10,18.2,1.3,3.6,.345,0.4,1.1,.364,0.9,2.6,.338,1.0,1.2,.816,0.2,1.6,1.8,1.2,0.2,0.0,1.0,1.0,4.4
Khadim Samb,idaho,21,0,15.9,1.3,2.8,.458,1.0,2.1,.444,0.3,0.7,.500,1.0,1.5,.688,0.5,1.9,2.4,0.5,0.3,0.1,1.1,2.0,4.0
Xavier Smith,idaho,30,0,14.5,1.2,2.8,.435,1.1,2.3,.471,0.1,0.5,.267,0.9,1.3,.700,0.0,1.3,1.4,1.6,0.4,0.1,1.2,1.0,3.5
Cassius Smits-Francisco,idaho,26,4,16.3,1.5,2.5,.609,1.5,2.5,.609,0.0,0.0,,0.4,1.3,.333,1.2,2.6,3.8,0.4,0.2,0.4,0.9,2.4,3.4
Chance Garvin,idaho,18,4,12.7,0.6,1.9,.314,0.3,0.7,.500,0.3,1.3,.217,0.3,0.5,.556,0.0,1.2,1.2,1.2,0.4,0.0,0.7,1.3,1.8
Losini Kamara,idaho,25,9,14.5,0.3,1.3,.242,0.1,0.8,.158,0.2,0.6,.357,0.4,0.5,.917,0.4,1.6,1.9,1.1,0.2,0.0,0.6,1.0,1.3
Carlik Jones,radford,31,30,34.2,5.9,12.7,.463,5.2,9.9,.526,0.7,2.9,.247,3.2,4.3,.758,0.5,4.6,5.2,5.8,1.7,0.1,2.7,1.8,15.7
"Ed Polite, Jr.",radford,33,32,33.5,4.9,9.6,.516,4.2,7.1,.583,0.8,2.5,.321,2.7,3.7,.744,2.4,7.2,9.5,1.6,1.5,1.2,1.6,2.2,13.4
Travis Fields,radford,32,30,29.8,3.8,9.3,.412,2.0,4.7,.427,1.8,4.6,.397,1.4,2.1,.672,0.4,1.8,2.2,3.0,1.5,0.1,1.5,2.5,10.8
Donald Hicks,radford,30,28,28.9,2.8,7.4,.385,0.6,2.2,.258,2.3,5.2,.439,0.7,1.0,.759,1.1,2.5,3.6,1.2,0.5,0.1,1.1,2.1,8.7
Caleb Tanner,radford,33,8,20.4,2.7,5.9,.464,0.6,1.1,.571,2.1,4.8,.440,0.6,0.9,.724,0.1,1.0,1.1,0.7,0.2,0.0,0.6,0.9,8.2
Devonnte Holland,radford,32,1,19.3,2.6,4.9,.519,2.6,4.9,.526,0.0,0.1,.000,1.2,1.8,.679,1.8,2.7,4.6,0.6,0.2,0.4,1.3,2.3,6.3
Mawdo Sallah,radford,33,33,18.9,2.4,4.6,.530,2.4,4.6,.530,0.0,0.0,,0.8,1.2,.625,1.7,2.4,4.2,0.4,0.2,1.0,0.8,2.5,5.6
Devin Hutchinson,radford,33,2,9.8,1.3,3.1,.436,0.5,0.8,.640,0.8,2.3,.368,0.6,0.7,.826,0.3,0.8,1.2,0.5,0.1,0.0,0.5,0.9,4.1
Cle'von Greene,radford,15,0,4.5,0.8,1.5,.522,0.5,0.7,.636,0.3,0.8,.417,0.1,0.1,1.000,0.0,0.4,0.4,0.3,0.1,0.0,0.3,0.2,2.1
Leroy Butts IV,radford,28,0,5.9,0.7,1.6,.413,0.6,1.3,.472,0.1,0.4,.200,0.1,0.3,.500,0.4,0.9,1.3,0.1,0.2,0.1,0.1,0.6,1.6
Josiah Jeffers,radford,11,0,5.1,0.4,1.2,.308,0.3,0.4,.750,0.1,0.8,.111,0.2,0.4,.500,0.1,0.5,0.6,0.9,0.2,0.3,0.2,0.3,1.0
Anias Saunders,radford,6,0,2.3,0.3,0.8,.400,0.0,0.3,.000,0.3,0.5,.667,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0
Tristan Owens,radford,22,1,4.0,0.3,0.7,.375,0.1,0.4,.375,0.1,0.4,.375,0.0,0.2,.250,0.3,0.6,0.9,0.2,0.1,0.0,0.2,0.3,0.7
John Caldwell,radford,7,0,5.0,0.1,0.4,.333,0.1,0.3,.500,0.0,0.1,.000,0.0,0.0,,0.1,0.6,0.7,0.6,0.0,0.0,0.3,1.0,0.3
Chris Clemons,campbell,33,33,36.6,9.2,20.6,.448,5.0,8.8,.569,4.2,11.8,.357,7.5,8.6,.869,0.8,4.3,5.1,2.8,1.5,0.3,2.5,1.9,30.1
Andrew Eudy,campbell,33,33,32.3,4.5,8.8,.507,3.5,6.5,.542,0.9,2.3,.408,2.0,2.3,.867,2.1,4.7,6.8,3.6,0.8,1.4,1.9,2.8,11.9
Cory Gensler,campbell,32,32,31.6,3.3,7.1,.461,1.7,2.6,.643,1.6,4.5,.354,0.4,0.5,.750,0.8,3.3,4.1,1.7,0.9,0.3,0.7,1.9,8.5
Isaac Chatman,campbell,32,30,27.4,2.7,5.3,.512,1.9,3.2,.598,0.8,2.1,.379,1.1,1.9,.581,0.9,3.3,4.3,0.9,0.6,0.5,0.8,2.8,7.3
Ja'cor Nelson,campbell,32,26,24.3,2.7,5.8,.462,2.4,4.7,.517,0.2,1.0,.212,1.2,2.4,.487,1.2,2.3,3.5,2.3,1.5,0.2,1.7,2.3,6.7
Jordan Whitfield,campbell,29,1,22.1,1.8,4.0,.440,1.0,1.8,.558,0.8,2.2,.344,0.6,0.7,.800,0.4,1.6,2.0,2.2,0.6,0.0,0.9,1.4,4.8
Trey Spencer,campbell,30,7,19.1,1.5,4.8,.306,0.5,1.3,.375,1.0,3.5,.279,0.3,0.4,.692,0.5,1.2,1.7,1.0,0.8,0.0,0.8,1.3,4.2
Jon Ander Cuadra,campbell,6,1,7.0,1.3,2.5,.533,1.0,1.3,.750,0.3,1.2,.286,0.0,0.3,.000,0.2,2.0,2.2,0.2,0.0,0.2,0.5,0.8,3.0
Ricky Clemons,campbell,3,0,7.3,1.0,2.0,.500,0.7,1.7,.400,0.3,0.3,1.000,0.3,0.7,.500,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.0,2.7
Brooks Cluxton,campbell,22,1,9.3,0.9,1.4,.633,0.9,1.4,.633,0.0,0.0,,0.6,1.0,.591,0.9,1.3,2.1,0.6,0.1,0.5,0.5,1.0,2.3
Noah Saunders,campbell,14,1,8.1,0.5,1.6,.304,0.3,0.4,.667,0.2,1.2,.176,0.6,0.7,.800,0.2,1.1,1.4,0.1,0.2,0.1,0.3,1.1,1.8
Billy Phenicie,campbell,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.5,1.5,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5
Milos Stajcic,campbell,13,0,4.9,0.5,1.2,.400,0.2,0.5,.429,0.2,0.6,.375,0.2,0.5,.333,0.2,0.2,0.5,0.2,0.2,0.0,0.5,1.2,1.3
Dan Gross,campbell,4,0,2.0,0.3,1.0,.250,0.3,0.5,.500,0.0,0.5,.000,0.0,0.0,,0.0,0.5,0.5,0.3,0.0,0.0,0.0,0.0,0.5
Austin Burnette,campbell,1,0,11.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
David Efianayi,gardner-webb,35,35,33.4,5.7,11.8,.487,3.7,7.0,.533,2.0,4.8,.420,4.7,6.3,.743,0.5,3.1,3.7,2.9,1.1,0.7,2.4,2.1,18.2
Jose Perez,gardner-webb,35,26,31.5,5.0,11.2,.448,3.5,7.2,.484,1.5,4.0,.381,3.6,5.1,.702,1.0,4.7,5.7,3.0,0.8,0.2,2.0,1.8,15.1
DJ Laster,gardner-webb,34,33,26.4,5.6,10.2,.552,5.0,8.6,.579,0.7,1.6,.411,1.6,2.5,.655,2.0,3.4,5.4,0.4,0.4,0.6,1.5,2.4,13.6
Nate Johnson,gardner-webb,35,35,30.9,3.4,7.4,.457,1.6,2.8,.571,1.8,4.6,.388,1.1,1.5,.769,0.3,3.7,4.0,1.7,1.5,0.5,1.0,2.3,9.7
Eric Jamison,gardner-webb,33,9,20.8,2.9,4.9,.593,2.8,4.5,.613,0.1,0.4,.333,1.0,1.4,.739,1.0,3.2,4.2,0.7,0.6,0.2,1.5,1.7,7.0
Jaheam Cornwall,gardner-webb,35,11,23.6,2.1,4.7,.442,1.1,2.1,.507,1.0,2.6,.391,1.0,1.5,.686,0.0,2.4,2.4,2.8,0.9,0.0,1.3,1.6,6.2
Jaylen Alston,gardner-webb,9,0,6.7,0.9,2.0,.444,0.8,1.8,.438,0.1,0.2,.500,1.0,1.3,.750,1.0,1.8,2.8,0.6,0.4,0.1,0.7,0.4,2.9
Christian Turner,gardner-webb,33,24,19.3,0.8,1.7,.474,0.4,0.8,.500,0.4,0.9,.448,0.8,1.0,.848,0.1,1.3,1.4,2.2,0.8,0.0,0.8,1.9,2.9
Ludovic Dufeal,gardner-webb,18,0,9.1,1.0,1.8,.545,0.9,1.4,.640,0.1,0.4,.250,0.3,0.3,.833,0.9,1.4,2.3,0.2,0.3,0.8,0.1,0.8,2.4
Justin Jenkins,gardner-webb,32,1,9.1,0.7,2.0,.328,0.3,0.6,.400,0.4,1.4,.295,0.6,0.9,.643,0.3,0.9,1.2,0.5,0.3,0.1,0.5,0.7,2.3
Brandon Miller,gardner-webb,29,1,7.8,0.8,1.6,.533,0.8,1.4,.524,0.1,0.1,.667,0.4,0.9,.481,0.8,1.0,1.8,0.0,0.3,0.1,0.6,1.6,2.2
Kennedy Kincaid,gardner-webb,4,0,3.0,0.5,2.0,.250,0.3,0.8,.333,0.3,1.3,.200,0.0,0.5,.000,0.0,0.3,0.3,0.5,0.0,0.0,0.5,0.0,1.3
Nych Smith,winthrop,28,19,27.5,6.0,13.3,.448,4.2,8.1,.522,1.8,5.3,.333,3.1,4.1,.757,0.4,2.2,2.6,3.7,0.5,0.0,2.4,2.0,16.8
Adam Pickett,winthrop,29,19,26.2,4.6,8.3,.554,3.3,5.4,.609,1.3,3.0,.453,1.9,2.8,.691,1.1,4.7,5.8,2.7,0.9,0.4,3.3,3.4,12.5
Josh Ferguson,winthrop,30,27,26.3,3.8,8.3,.456,2.1,4.1,.504,1.7,4.2,.409,1.7,2.2,.776,2.0,5.3,7.3,1.3,0.5,0.6,1.6,2.0,11.1
Bjorn Broman,winthrop,29,26,30.4,2.9,7.6,.384,0.7,1.4,.500,2.2,6.2,.358,2.9,3.6,.806,0.7,2.3,3.0,2.3,0.6,0.1,1.0,1.6,10.9
Kyle Zunic,winthrop,30,18,21.8,2.9,7.2,.405,1.4,2.6,.544,1.5,4.5,.324,1.3,2.0,.667,1.0,3.3,4.3,1.9,0.7,0.2,1.9,1.3,8.6
Charles Falden,winthrop,29,4,16.9,2.5,5.5,.456,1.1,2.5,.452,1.4,3.0,.460,0.6,0.7,.842,1.3,2.3,3.6,0.9,0.6,0.1,1.3,1.1,7.0
Michael Anumba,winthrop,30,29,23.6,2.3,4.8,.476,1.8,3.0,.582,0.5,1.7,.288,1.9,2.7,.704,1.5,2.3,3.8,1.6,0.4,0.1,1.6,2.5,6.9
Austin Awad,winthrop,27,5,12.6,2.0,5.3,.387,0.3,0.6,.529,1.7,4.6,.368,0.1,0.1,1.000,0.6,2.4,2.9,0.1,0.1,0.2,0.6,1.1,5.9
Raivis Scerbinskis,winthrop,13,0,7.2,1.2,3.0,.410,0.0,0.2,.000,1.2,2.8,.432,0.3,0.5,.667,0.4,1.1,1.5,0.4,0.0,0.1,0.2,0.7,4.0
Avery Davis,winthrop,5,0,3.8,1.2,2.4,.500,1.0,1.6,.625,0.2,0.8,.250,0.4,0.4,1.000,0.2,1.0,1.2,0.8,0.0,0.0,0.2,0.8,3.0
Keondre Schumacher,winthrop,9,0,5.6,1.1,2.0,.556,0.6,0.7,.833,0.6,1.3,.417,0.2,0.2,1.000,0.0,0.6,0.6,0.7,0.0,0.0,0.7,0.4,3.0
Jermaine Ukaegbu,winthrop,30,3,14.2,1.1,1.7,.680,1.1,1.7,.680,0.0,0.0,,0.4,0.7,.619,1.1,2.8,3.9,0.5,0.2,0.8,0.9,2.4,2.7
Keyshawn Hunter,winthrop,5,0,2.8,0.6,0.8,.750,0.4,0.6,.667,0.2,0.2,1.000,0.0,0.0,,0.0,0.8,0.8,0.2,0.2,0.0,0.0,0.2,1.4
Tom Pupavac,winthrop,8,0,5.4,0.5,1.0,.500,0.5,0.6,.800,0.0,0.4,.000,0.3,0.6,.400,0.4,0.5,0.9,0.6,0.1,0.5,0.4,0.5,1.3
Dreek Morgan,winthrop,4,0,2.5,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.0,0.3,0.0,0.0
Adam Flagler,presbyterian,36,36,30.7,5.4,12.4,.438,2.4,4.6,.527,3.0,7.8,.386,2.0,2.4,.835,0.8,2.6,3.4,1.3,0.8,0.3,1.2,1.7,15.9
Francois Lewis,presbyterian,36,36,27.0,5.0,10.7,.469,2.7,4.9,.557,2.3,5.8,.394,2.6,3.4,.748,1.1,3.8,4.9,1.6,0.8,0.2,1.4,2.8,14.8
Davon Bell,presbyterian,35,35,31.7,3.2,7.2,.439,2.6,5.2,.503,0.6,2.1,.278,3.1,4.2,.748,0.5,3.7,4.2,6.5,1.3,0.0,2.0,2.0,10.1
JC Younger,presbyterian,36,7,23.5,3.3,7.6,.429,0.7,1.8,.394,2.6,5.8,.440,0.5,0.9,.613,0.3,2.3,2.6,0.7,0.3,0.0,0.7,1.7,9.6
Cory Hightower,presbyterian,36,35,24.4,3.5,7.4,.475,3.1,6.4,.493,0.4,1.0,.361,2.1,2.8,.750,1.5,4.8,6.3,1.9,0.8,0.6,1.6,2.6,9.4
Romeo Crouch,presbyterian,36,6,24.1,2.4,4.6,.512,1.4,2.1,.645,1.0,2.5,.400,1.0,1.4,.673,1.6,1.8,3.4,1.1,1.0,0.4,0.6,2.3,6.7
Chris Martin,presbyterian,33,19,17.1,1.6,3.8,.435,1.3,2.6,.500,0.3,1.2,.289,1.4,2.0,.682,0.9,2.5,3.4,1.2,0.6,0.0,0.9,1.8,5.0
Jamie Baker,presbyterian,7,0,5.7,1.1,2.4,.471,0.6,1.3,.444,0.6,1.1,.500,0.9,1.0,.857,0.1,0.9,1.0,0.4,0.0,0.0,0.3,0.3,3.7
Kody Shubert,presbyterian,36,3,11.4,1.2,3.2,.379,0.8,1.9,.406,0.4,1.3,.340,0.5,0.6,.773,0.1,0.7,0.9,1.4,0.3,0.0,0.8,0.8,3.4
Armel TeTe,presbyterian,20,0,9.2,1.0,1.8,.543,1.0,1.8,.543,0.0,0.0,,0.7,1.5,.483,1.1,1.2,2.2,0.1,0.1,0.5,0.7,1.3,2.6
Ethan Kay,presbyterian,19,3,5.4,0.6,1.9,.297,0.1,0.1,1.000,0.5,1.9,.278,0.0,0.0,,0.1,0.3,0.3,0.3,0.2,0.1,0.0,0.2,1.7
Maleek Catchings,presbyterian,11,0,5.6,0.6,0.9,.700,0.6,0.6,1.000,0.0,0.3,.000,0.4,0.6,.571,0.5,1.3,1.7,0.2,0.1,0.2,0.3,1.4,1.6
Ben Drake,presbyterian,13,0,4.5,0.5,1.4,.333,0.4,1.1,.357,0.1,0.3,.250,0.2,0.4,.600,0.4,0.8,1.2,0.0,0.0,0.2,0.1,0.8,1.2
Tristen Becker,presbyterian,5,0,5.0,0.2,0.6,.333,0.0,0.0,,0.2,0.6,.333,0.0,0.0,,0.2,1.0,1.2,0.0,0.2,0.0,0.4,0.4,0.6
Christian Keeling,charleston-southern,34,27,32.2,6.3,13.5,.465,3.9,7.3,.538,2.4,6.3,.380,3.7,4.8,.778,0.9,6.1,6.9,2.8,1.3,0.7,2.7,2.0,18.7
Phlandrous Fleming Jr.,charleston-southern,22,11,28.2,4.4,11.0,.402,2.9,5.8,.504,1.5,5.2,.289,2.2,2.8,.803,1.7,3.8,5.5,2.7,1.3,0.6,2.1,2.0,12.5
Dontrell Shuler,charleston-southern,34,19,26.7,4.0,9.3,.432,3.1,6.0,.527,0.9,3.4,.263,1.9,3.2,.611,0.6,2.1,2.7,1.8,1.0,0.1,1.6,2.0,10.9
Travis McConico,charleston-southern,34,24,28.3,3.0,7.3,.406,1.7,3.6,.476,1.2,3.7,.336,1.0,1.6,.642,1.8,4.0,5.9,2.5,1.2,0.6,1.4,1.9,8.2
Ty Jones,charleston-southern,33,9,21.5,3.2,6.4,.495,2.8,5.5,.519,0.3,0.9,.345,1.2,1.4,.830,1.8,2.3,4.1,1.5,0.5,0.3,1.4,1.5,7.8
Deontaye Buskey,charleston-southern,32,17,19.6,2.1,5.7,.376,1.0,2.7,.379,1.1,2.9,.372,0.9,1.4,.609,0.5,1.6,2.1,1.8,1.1,0.3,1.5,1.7,6.2
Duncan LeXander,charleston-southern,34,28,16.5,1.9,5.1,.374,0.8,1.9,.429,1.1,3.3,.342,0.4,0.7,.500,1.4,2.0,3.4,0.7,0.7,0.1,1.1,1.8,5.3
Nate Louis,charleston-southern,28,11,13.1,1.6,4.0,.411,0.1,0.8,.190,1.5,3.3,.462,0.2,0.3,.750,0.1,0.6,0.8,0.9,0.4,0.1,0.4,1.1,5.0
Travis Anderson,charleston-southern,3,0,6.3,0.7,2.3,.286,0.3,1.0,.333,0.3,1.3,.250,1.0,1.7,.600,0.0,0.0,0.0,1.0,0.3,0.0,1.3,0.7,2.7
Timmy Sellers,charleston-southern,27,14,10.9,1.0,2.1,.466,1.0,2.1,.466,0.0,0.0,,0.5,1.0,.464,1.4,1.0,2.4,0.1,0.3,0.3,0.6,1.9,2.5
Sean Price,charleston-southern,25,0,10.2,0.8,2.2,.389,0.6,1.2,.452,0.3,0.9,.304,0.4,0.7,.611,0.4,1.0,1.4,0.6,0.6,0.0,0.6,0.7,2.4
Jamir Moore,charleston-southern,14,0,5.3,0.9,2.5,.343,0.5,0.8,.636,0.4,1.7,.208,0.2,0.3,.750,0.2,0.6,0.8,0.3,0.1,0.3,0.2,0.8,2.3
Sadarius Bowser,charleston-southern,30,10,10.8,1.0,1.6,.604,1.0,1.6,.617,0.0,0.0,.000,0.2,0.5,.357,1.0,0.9,1.9,0.2,0.1,0.4,0.5,1.4,2.1
Nathan Payne,charleston-southern,11,0,2.3,0.3,0.7,.375,0.3,0.7,.375,0.0,0.0,,0.3,0.7,.375,0.4,0.4,0.7,0.0,0.0,0.0,0.1,0.5,0.8
Brian Camacho,charleston-southern,3,0,1.3,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,0.0,0.7,.000,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0
Jahaad Proctor,high-point,31,31,34.6,6.8,14.6,.464,5.0,9.3,.540,1.8,5.4,.331,4.1,5.4,.771,0.6,3.3,3.8,3.3,1.3,0.4,2.2,1.6,19.5
Brandon Kamga,high-point,24,22,29.7,5.2,11.8,.438,3.5,7.2,.494,1.6,4.6,.351,1.9,3.0,.625,1.3,4.0,5.2,1.8,1.0,0.6,1.8,2.4,13.8
Cliff Thomas Jr.,high-point,2,0,18.0,3.0,4.5,.667,3.0,4.5,.667,0.0,0.0,,3.5,4.0,.875,2.5,4.0,6.5,0.5,0.0,2.5,3.0,2.0,9.5
Ricky Madison,high-point,31,31,30.2,3.6,6.4,.563,3.5,5.7,.605,0.2,0.7,.227,1.6,2.7,.583,3.4,5.1,8.5,1.3,0.4,0.3,2.0,2.3,9.0
Curtis Holland III,high-point,25,20,26.2,2.6,6.9,.384,1.4,3.3,.434,1.2,3.6,.337,1.2,1.5,.784,0.5,2.1,2.6,1.2,0.8,0.3,1.6,2.0,7.6
Jordan Whitehead,high-point,31,31,28.3,2.6,5.5,.476,2.5,5.0,.503,0.1,0.5,.200,1.7,2.5,.688,1.6,4.1,5.7,1.8,0.6,0.4,1.1,2.7,7.0
Jamal Wright,high-point,30,10,18.5,1.4,4.0,.350,0.7,1.6,.449,0.7,2.4,.282,0.8,1.2,.657,0.2,1.7,1.9,1.3,0.7,0.0,1.0,1.7,4.2
Tim Cameron,high-point,19,0,10.9,1.3,3.0,.421,1.1,2.0,.553,0.2,1.0,.158,1.4,2.1,.692,1.0,1.5,2.5,1.3,0.7,0.3,0.9,1.1,4.1
